Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Deg,0.9704060528,1,0,0,46,50.7739028931,1.4785714286,0.8139071309,0.0314469128,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,1.5857142857,0.8017515653,0.0309475037,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,1.6928571429,0.7910001064,0.030466823,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,1.8,0.7814329436,0.0300077051,Str3
Comm,0,1,0.8,1,20,23.6759872437,0.3,1.1572567288,0.0302834053,Str2
Comm,0,1,0.8,1,20,23.6759872437,0.4071428571,1.1008943011,0.032645446,Str2
Comm,0,1,0.8,1,20,23.6759872437,0.5142857143,1.0535233662,0.0346849868,Str2
Comm,0,1,0.8,1,20,23.6759872437,0.6214285714,1.0133357429,0.0364330776,Str2
Comm,0,1,0.8,1,20,23.6759872437,0.7285714286,0.9789382597,0.0379255757,Str2
Comm,0,1,0.8,1,20,23.6759872437,0.8357142857,0.9492498004,0.0391980504,Str2
Comm,0,1,0.8,1,20,23.6759872437,0.9428571429,0.9234250003,0.0402831994,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.05,0.9007975387,0.0412098148,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.1571428571,0.880837899,0.0420026112,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.2642857143,0.8631218077,0.042682483,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.3714285714,0.8473065479,0.0432669414,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.4785714286,0.8331130853,0.0437705953,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.5857142857,0.8203124955,0.0442056112,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.6928571429,0.8087155873,0.0445821228,Str2
Comm,0,1,0.8,1,20,23.6759872437,1.8,0.7981649125,0.044908583,Str2
